distance,kicker,result,target
31,M.Gay,Make,1
35,J.Myers,Miss,0
32,J.Myers,Make,1
47,M.Gay,Make,1
31,Y.Koo,Make,1
31,M.Ammendola,Make,1
52,Y.Koo,Make,1
49,M.Ammendola,Make,1
39,A.Seibert,Make,1
38,G.Joseph,Make,1
38,G.Joseph,Make,1
52,A.Seibert,Make,1
55,G.Joseph,Make,1
49,G.Joseph,Miss,0
40,A.Seibert,Make,1
54,G.Joseph,Make,1
45,D.Hopkins,Make,1
23,D.Hopkins,Make,1
24,D.Hopkins,Make,1
33,K.Fairbairn,Make,1
52,N.Folk,Make,1
52,N.Folk,Make,1
32,N.Folk,Make,1
56,K.Fairbairn,Miss,0
21,N.Folk,Make,1
23,J.Sanders,Make,1
42,R.Succop,Make,1
60,B.Pinion,Miss,0
44,M.Crosby,Make,1
44,M.Crosby,Make,1
22,M.Crosby,Make,1
36,M.Crosby,Miss,0
57,E.McPherson,Miss,0
51,M.Crosby,Miss,0
40,M.Crosby,Miss,0
49,E.McPherson,Miss,0
49,M.Crosby,Make,1
39,B.McManus,Make,1
48,C.Boswell,Make,1
29,B.McManus,Make,1
43,C.Boswell,Make,1
48,Z.Gonzalez,Make,1
30,J.Elliott,Make,1
43,Z.Gonzalez,Make,1
58,J.Elliott,Make,1
50,Z.Gonzalez,Make,1
53,M.Wright,Miss,0
34,R.Bullock,Make,1
35,C.McLaughlin,Make,1
31,C.McLaughlin,Make,1
31,D.Carlson,Make,1
46,C.Santos,Make,1
46,C.Santos,Make,1
21,M.Prater,Make,1
61,M.Prater,Miss,0
47,J.Slye,Make,1
54,G.Gano,Miss,0
31,G.Zuerlein,Make,1
51,G.Gano,Make,1
51,G.Gano,Make,1
38,G.Zuerlein,Make,1
31,G.Zuerlein,Make,1
38,H.Butker,Make,1
30,T.Bass,Make,1
54,H.Butker,Make,1
23,J.Tucker,Make,1
37,R.Blankenship,Make,1
43,R.Blankenship,Make,1
37,R.Blankenship,Make,1
47,R.Blankenship,Miss,0
31,G.Zuerlein,Miss,0
35,G.Zuerlein,Make,1
60,G.Zuerlein,Miss,0
21,G.Zuerlein,Make,1
48,G.Zuerlein,Make,1
36,R.Succop,Make,1
55,J.Lambo,Miss,0
40,J.Slye,Make,1
26,J.Slye,Make,1
25,J.Slye,Make,1
30,D.Hopkins,Make,1
43,D.Hopkins,Make,1
33,T.Vizcaino,Make,1
27,T.Vizcaino,Make,1
48,D.Hopkins,Make,1
51,D.Hopkins,Miss,0
21,R.Blankenship,Make,1
22,R.Santoso,Make,1
29,R.Santoso,Make,1
53,E.McPherson,Make,1
53,G.Joseph,Make,1
33,E.McPherson,Make,1
34,M.Prater,Make,1
46,M.Badgley,Miss,0
43,M.Prater,Miss,0
51,A.Seibert,Miss,0
49,A.Seibert,Make,1
40,R.Gould,Make,1
52,R.Gould,Miss,0
52,R.Gould,Make,1
37,T.Bass,Make,1
24,C.Boswell,Make,1
20,C.Boswell,Make,1
25,T.Bass,Make,1
45,C.Boswell,Make,1
42,T.Bass,Make,1
21,Y.Koo,Make,1
27,Y.Koo,Make,1
43,J.Elliott,Make,1
28,H.Butker,Make,1
43,H.Butker,Make,1
44,A.Rosas,Make,1
39,M.Crosby,Make,1
23,B.McManus,Make,1
36,B.McManus,Make,1
27,N.Folk,Make,1
48,J.Sanders,Make,1
42,N.Folk,Make,1
33,N.Folk,Make,1
53,M.Gay,Make,1
22,M.Gay,Make,1
34,D.Carlson,Make,1
40,J.Tucker,Make,1
47,J.Tucker,Make,1
55,D.Carlson,Make,1
23,G.Gano,Make,1
47,G.Gano,Make,1
49,D.Hopkins,Make,1
52,G.Gano,Make,1
37,D.Hopkins,Make,1
55,G.Gano,Make,1
35,G.Gano,Make,1
43,D.Hopkins,Make,1
46,N.Folk,Make,1
21,M.Ammendola,Make,1
49,N.Folk,Make,1
53,M.Ammendola,Miss,0
32,N.Folk,Make,1
35,M.Ammendola,Make,1
26,N.Folk,Make,1
32,B.McManus,Make,1
52,J.Lambo,Miss,0
48,J.Lambo,Miss,0
46,B.McManus,Make,1
40,B.McManus,Make,1
53,T.Bass,Miss,0
45,J.Elliott,Make,1
47,J.Elliott,Make,1
46,R.Gould,Make,1
48,R.Blankenship,Make,1
34,M.Gay,Make,1
46,R.Blankenship,Make,1
35,R.Blankenship,Make,1
38,M.Gay,Make,1
46,D.Carlson,Make,1
33,D.Carlson,Make,1
41,D.Carlson,Make,1
56,C.Boswell,Make,1
45,D.Carlson,Make,1
53,E.McPherson,Make,1
28,C.Santos,Make,1
22,C.Santos,Make,1
30,C.McLaughlin,Make,1
41,M.Stewart,Make,1
20,Z.Gonzalez,Make,1
50,Z.Gonzalez,Make,1
42,Z.Gonzalez,Make,1
52,G.Joseph,Make,1
62,M.Prater,Make,1
52,G.Joseph,Make,1
27,M.Prater,Make,1
37,G.Joseph,Miss,0
36,Y.Koo,Make,1
31,J.Myers,Make,1
33,R.Bullock,Make,1
30,R.Bullock,Make,1
24,R.Bullock,Make,1
44,R.Bullock,Miss,0
36,R.Bullock,Make,1
46,T.Vizcaino,Make,1
44,T.Vizcaino,Miss,0
32,T.Vizcaino,Make,1
34,G.Zuerlein,Make,1
29,T.Vizcaino,Make,1
56,G.Zuerlein,Make,1
43,J.Tucker,Make,1
43,A.Seibert,Make,1
53,G.Joseph,Miss,0
49,C.Boswell,Miss,0
38,G.Joseph,Make,1
42,G.Joseph,Make,1
25,G.Joseph,Make,1
35,G.Zuerlein,Make,1
38,G.Zuerlein,Make,1
37,G.Zuerlein,Make,1
29,G.Zuerlein,Make,1
47,R.Bullock,Miss,0
44,R.Bullock,Make,1
29,R.Bullock,Make,1
38,J.Myers,Make,1
21,K.Fairbairn,Make,1
61,K.Fairbairn,Make,1
38,J.Myers,Make,1
26,D.Carlson,Make,1
54,H.Butker,Make,1
37,H.Butker,Make,1
23,B.Maher,Make,1
36,E.Pineiro,Make,1
46,E.Pineiro,Make,1
31,B.Maher,Make,1
37,B.Maher,Make,1
36,E.Pineiro,Make,1
32,Y.Koo,Make,1
38,Y.Koo,Make,1
48,Y.Koo,Make,1
43,C.McLaughlin,Make,1
50,J.Tucker,Make,1
42,J.Tucker,Make,1
55,J.Tucker,Make,1
41,C.McLaughlin,Miss,0
27,D.Hopkins,Make,1
28,D.Hopkins,Make,1
39,D.Hopkins,Make,1
36,R.Patterson,Make,1
52,B.McManus,Make,1
33,R.Gould,Make,1
37,E.McPherson,Make,1
28,E.McPherson,Make,1
24,R.Gould,Make,1
46,E.McPherson,Miss,0
47,R.Gould,Miss,0
41,E.McPherson,Make,1
23,R.Succop,Make,1
21,T.Bass,Make,1
24,R.Succop,Make,1
25,T.Bass,Make,1
23,C.Santos,Make,1
44,C.Santos,Make,1
20,M.Crosby,Make,1
43,C.Santos,Make,1
53,M.Prater,Make,1
55,M.Gay,Make,1
35,M.Gay,Make,1
53,M.Prater,Make,1
33,M.Gay,Make,1
49,M.Prater,Make,1
28,C.Santos,Make,1
43,C.Santos,Make,1
53,C.Santos,Miss,0
28,C.Santos,Make,1
22,D.Carlson,Make,1
59,G.Zuerlein,Miss,0
46,D.Carlson,Make,1
29,G.Zuerlein,Make,1
30,D.Carlson,Make,1
56,D.Carlson,Make,1
45,G.Zuerlein,Make,1
29,D.Carlson,Make,1
34,T.Bass,Make,1
45,M.Badgley,Make,1
25,R.Succop,Make,1
31,M.Ammendola,Make,1
42,M.Ammendola,Miss,0
55,K.Fairbairn,Miss,0
37,M.Ammendola,Make,1
35,G.Gano,Make,1
51,G.Gano,Miss,0
39,G.Gano,Make,1
41,Z.Gonzalez,Make,1
46,J.Sanders,Make,1
33,J.Sanders,Make,1
22,N.Folk,Make,1
44,R.Bullock,Miss,0
37,N.Folk,Make,1
44,N.Folk,Make,1
53,N.Folk,Miss,0
28,N.Folk,Make,1
52,N.Folk,Make,1
31,E.McPherson,Make,1
40,C.Boswell,Make,1
51,E.McPherson,Make,1
22,M.Wright,Make,1
34,M.Wright,Make,1
52,D.Hopkins,Miss,0
45,M.Crosby,Make,1
28,M.Crosby,Make,1
36,M.Gay,Make,1
29,M.Crosby,Make,1
42,M.Crosby,Miss,0
39,M.Gay,Make,1
46,R.Gould,Make,1
22,R.Gould,Make,1
42,R.Gould,Miss,0
46,C.McLaughlin,Miss,0
52,J.Tucker,Make,1
25,J.Tucker,Make,1
46,C.McLaughlin,Make,1
49,J.Tucker,Make,1
23,J.Slye,Make,1
46,J.Tucker,Make,1
48,J.Tucker,Miss,0
31,J.Sanders,Make,1
22,J.Sanders,Make,1
29,J.Sanders,Make,1
29,T.Bass,Make,1
48,M.Ammendola,Make,1
46,J.Slye,Make,1
28,J.Slye,Make,1
25,R.Succop,Make,1
29,J.Slye,Make,1
31,R.Succop,Make,1
35,Y.Koo,Make,1
28,R.Bullock,Make,1
36,R.Bullock,Make,1
36,R.Bullock,Make,1
20,B.Johnson,Make,1
24,M.Badgley,Make,1
29,M.Badgley,Make,1
56,M.Wright,Make,1
51,M.Wright,Miss,0
37,M.Badgley,Make,1
20,C.Boswell,Make,1
20,R.Santoso,Make,1
23,C.Boswell,Make,1
51,C.Boswell,Make,1
48,R.Santoso,Miss,0
38,N.Folk,Make,1
46,G.Joseph,Make,1
46,D.Hopkins,Make,1
30,G.Joseph,Make,1
24,D.Hopkins,Make,1
44,Z.Gonzalez,Make,1
48,Z.Gonzalez,Make,1
49,Z.Gonzalez,Make,1
47,M.Prater,Make,1
27,Z.Gonzalez,Make,1
30,J.Elliott,Make,1
21,B.McManus,Make,1
52,J.Elliott,Make,1
22,B.McManus,Make,1
28,B.McManus,Make,1
23,J.Elliott,Make,1
42,M.Crosby,Miss,0
27,M.Crosby,Make,1
40,H.Butker,Make,1
46,H.Butker,Miss,0
35,H.Butker,Make,1
50,R.Gould,Make,1
37,M.Gay,Make,1
43,E.McPherson,Miss,0
35,E.McPherson,Make,1
44,R.Bullock,Make,1
46,R.Bullock,Make,1
36,R.Bullock,Make,1
27,M.Ammendola,Make,1
22,M.Ammendola,Make,1
49,R.Bullock,Miss,0
29,J.Elliott,Make,1
25,J.Elliott,Make,1
31,J.Elliott,Make,1
54,Z.Gonzalez,Miss,0
37,G.Zuerlein,Make,1
35,G.Gano,Miss,0
58,A.Rosas,Miss,0
23,G.Gano,Make,1
48,G.Gano,Make,1
48,C.McLaughlin,Make,1
53,C.McLaughlin,Make,1
33,C.Santos,Make,1
33,T.Bass,Make,1
26,T.Bass,Make,1
21,T.Bass,Make,1
28,T.Bass,Make,1
38,J.Sanders,Make,1
34,R.Blankenship,Make,1
43,R.Blankenship,Make,1
25,Y.Koo,Make,1
21,D.Hopkins,Make,1
41,M.Wishnowsky,Miss,0
42,M.Gay,Make,1
22,M.Gay,Make,1
23,M.Prater,Make,1
55,M.Prater,Make,1
46,M.Gay,Miss,0
23,M.Prater,Make,1
52,C.Boswell,Make,1
26,M.Crosby,Make,1
29,M.Crosby,Make,1
40,J.Tucker,Make,1
46,J.Tucker,Make,1
20,J.Tucker,Make,1
29,R.Succop,Make,1
36,R.Succop,Miss,0
44,R.Succop,Make,1
27,R.Succop,Make,1
27,N.Folk,Make,1
48,R.Succop,Make,1
56,N.Folk,Miss,0
52,D.Carlson,Miss,0
48,R.Gould,Make,1
38,R.Bullock,Make,1
44,R.Bullock,Make,1
32,M.Crosby,Make,1
37,C.Naggar,Make,1
51,M.Prater,Miss,0
53,M.Badgley,Miss,0
41,M.Badgley,Make,1
37,M.Badgley,Make,1
41,M.Prater,Miss,0
28,M.Prater,Make,1
54,G.Gano,Make,1
41,J.Elliott,Miss,0
22,J.Elliott,Make,1
37,J.Elliott,Make,1
32,M.Gay,Make,1
23,G.Joseph,Make,1
31,M.Gay,Make,1
24,G.Joseph,Make,1
24,M.Gay,Make,1
44,G.Joseph,Make,1
25,T.Bass,Make,1
34,T.Bass,Make,1
24,L.Hajrullahu,Make,1
36,R.Succop,Make,1
29,L.Hajrullahu,Make,1
43,R.Succop,Make,1
21,R.Succop,Make,1
48,R.Succop,Make,1
21,M.Wright,Make,1
45,M.Wright,Make,1
42,E.Pineiro,Make,1
40,M.Wright,Make,1
20,E.Pineiro,Make,1
26,R.Patterson,Make,1
53,Y.Koo,Make,1
48,Y.Koo,Make,1
37,R.Patterson,Make,1
26,R.Patterson,Make,1
50,D.Hopkins,Make,1
46,D.Hopkins,Make,1
51,D.Eberle,Make,1
52,D.Eberle,Miss,0
35,D.Hopkins,Make,1
25,D.Eberle,Make,1
30,E.McPherson,Make,1
36,E.McPherson,Make,1
50,E.McPherson,Miss,0
36,J.Myers,Make,1
35,C.Santos,Make,1
39,J.Myers,Miss,0
44,E.Fry,Make,1
36,C.Boswell,Miss,0
39,E.Fry,Miss,0
34,C.Boswell,Make,1
34,E.Fry,Make,1
30,E.Fry,Make,1
49,B.McManus,Make,1
55,B.McManus,Make,1
55,B.McManus,Miss,0
41,D.Carlson,Make,1
48,J.Sanders,Make,1
38,B.Maher,Make,1
59,J.Sanders,Miss,0
34,J.Sanders,Make,1
56,B.Maher,Miss,0
55,G.Zuerlein,Make,1
34,G.Zuerlein,Make,1
42,B.Maher,Make,1
39,G.Gano,Make,1
48,J.Sanders,Make,1
34,G.Gano,Make,1
52,J.Sanders,Miss,0
51,G.Gano,Make,1
48,J.Sanders,Make,1
56,G.Gano,Miss,0
35,M.Badgley,Miss,0
23,M.Badgley,Make,1
41,G.Joseph,Make,1
31,G.Joseph,Make,1
31,R.Patterson,Make,1
41,R.Patterson,Make,1
31,G.Joseph,Make,1
49,R.Patterson,Make,1
31,J.Elliott,Make,1
32,J.Elliott,Make,1
43,J.Elliott,Make,1
46,J.Elliott,Make,1
33,M.Prater,Make,1
25,M.Prater,Make,1
43,D.Hopkins,Make,1
48,E.McPherson,Make,1
43,D.Hopkins,Make,1
21,Y.Koo,Make,1
31,R.Succop,Make,1
40,M.Gay,Make,1
44,M.Gay,Make,1
37,M.Gay,Make,1
52,D.Carlson,Make,1
38,D.Carlson,Make,1
37,D.Carlson,Make,1
48,B.Johnson,Make,1
53,C.Boswell,Make,1
35,J.Tucker,Make,1
28,J.Tucker,Make,1
43,C.Boswell,Make,1
56,J.Myers,Miss,0
50,R.Gould,Make,1
56,H.Butker,Make,1
42,B.McManus,Make,1
45,H.Butker,Make,1
26,H.Butker,Make,1
41,N.Folk,Make,1
